Nombre
"Abalde, Rodolfo"
"Abascal, Rodrigo"
"Abbadie, Julio"
"Abbadie, Julio César"
"Abelleira, Alberto"
"Abib, Miguel Eduardo"
Abreo
"Acebedo, Edmundo"
"Acevedo, Álvaro"
"Acevedo, Amilcar"
"Acevedo, Carlos"
"Acevedo, Luis"
"Acosta, Alberto"
"Acosta, Juan Alberto"
"Acosta, Juan Manuel"
"Acosta, Julio"
"Acosta, Leonardo (a prueba)"
"Acosta, Luis Alberto"
"Acosta, Nahuel"
"Acosta, Nelson"
"Acquarone, Octavio"
"Acuña, Andrés"
"Acuña, Boris"
"Acuña, Jorge"
"Acuña, Nilo"
"Acuña, Sergio"
"Adam, John"
"Adam, M."
"Adamo, Nicola"
Adão
"Adinolfi, Edgardo"
"Affonso, Mauricio"
"Agnese, Federico"
"Aguerre, Antonio"
"Aguerre, Luis Alberto"
"Aguerre, Walter"
"Aguerre, Washington"
Aguiar
"Aguiar, Luis"
"Aguilar, Eduardo"
"Aguilera, Carlos"
"Aguirre, Diego"
"Aguirregaray, Matías"
"Aguirregaray, Óscar"
"Aguirre, Joaquín"
"Aguirre, Mauricio"
"Aguirre, Obdulio"
"Aguirre, Pedro"
"Aires, Washington"
"Aizcorbi, Basilio"
Aizpur
"Akongo, Joseph"
"Alaníz, Agustín"
"Alarcón, Matías"
"Albanese, Vicente"
"Albarracín, Fermín"
"Albarracín, Nicolás"
"Albermager, Fernando"
"Alberti, Luis Pedro"
"Albín, Emiliano"
"Albistur, Bolívar"
"Alcoba, Gabriel"
"Alcoba, Gerardo"
"Alfano, Enrique"
"Aliyu, Mohammed"
"Allende, Daniel"
"Alliette, Luis"
A. Longo
"Alonso, Álvaro"
"Alonso, Diego"
"Alonso, Matías"
"Alonso, Máximo"
"Alsina, Oscar (a prueba)"
"Altamirano, Mario"
"Altez, Paulo"
"Álvarez, Antonio"
"Álvarez, Brandon"
"Álvarez, Edgar"
"Álvarez, Hugo"
"Álvarez, Jorge"
"Álvarez, Luis"
"Álvarez, Mario"
"Álvarez Martínez, Agustín"
"Álvarez, Raúl"
"Álvarez, Roberto"
"Álvarez, Sebastián"
"Álvarez Wallace, Agustín"
"Álvarez Wallace, Elbio"
"Álvarez, Walter"
"Álvez, Cristian"
"Álvez, Facundo"
"Álvez, Fernando"
"Álvez, Juan"
"Álvez, Miguel Álvez"
"Álvez, Rodrigo"
Alvim
"Alzamendi, Antonio"
"Alzogaray, Daniel"
"Amado, Antonio"
"Amado, Miguel"
"Amakor, Chukwemeka"
"Amalfi, Yeso"
Amaro
"Amatto, Carlos"
"Ameal, Raúl Florio"
"Amengual, Víctor"
"Amodio, Nicolás"
"Amoedo, Joaquín"
"Amoroso, Edison"
Anderson
"Andrada, Joel"
"Andrade, José Leandro"
"Angrisani, Luis"
"Angrissani, Luis"
Anito Do Carmo Lopes
Añón
"Anselmo, Juan Peregrino"
"Antúnez, Federico"
"Anzorena, Manuel"
Anzuberro
Anzueta
Apaulazza
"Apellaniz, Adrián"
"Apratto, Carlos"
Arago
"Aragonés, Germán"
"Araíz, Donato"
"Arándiga López, Raúl"
"Araújo, César"
"Arbeloa, Pablo"
"Arce, Billy"
"Ardoguein, Héctor"
"Arduino, Fernando"
"Areco, Mario"
"Arenas, Libis"
"Arévalo Ríos, Egidio"
"Arezo, Matías"
"Argenti, Héctor"
"Arguello, Héctor"
"Arias, Alfredo"
"Arias, Carlos"
"Arias, Junior"
"Arias, Maximiliano"
"Arias, Ramón"
"Arias, Raúl"
"Arímalo, Germán"
"Arioni, Ernesto"
"Arispe, Horacio"
"Arispe, Pedro"
"Armán, Richard"
"Armelini, Germinal"
"Armúa, Jorge"
"Arregui, Enrique"
"Arremón, Juan Pedro"
"Arrico, José"
"Arrieta, Luis"
"Arriola, Julio"
"Arteaga, Francisco"
"Arteaga, Jorge José"
"Artigas, Armando"
"Artigas, José Gervasio"
"Arzola, Robert"
"Asconeguy, Danilo"
"Asteggiano, Marcelo"
Aster
"Ávalos, Gabriel"
"Avenatti, Felipe"
"Ávila, Darwin"
"Ayala, José Luis"
"Azambuya, Alejandro"
"Azambuya, Juan"
"Azevedo, Antonio"
"Babi, Matheus"
"Badalá, Cándido"
"Baeza, Elgar"
"Báez, Jaime"
Bahía
"Bajter, Maximiliano"
"Balbuena, Gastón"
"Baldessari, Horacio"
"Baldi, Daniel"
"Baliani, A."
"Ballesteros, Walter"
"Ballestrero, Enrique"
"Ballestrino, Pedro"
"Balparda, Luis"
"Balparda, Pedro"
"Balseiro, Osvaldo"
"Baltierra, Danilo"
"Banchesse, Andrés"
"Baptista Da Silva, Lucídi"
"Baptista, Jacinto"
"Barán, Adolfo"
"Barán, Agustín"
"Barbas, Germán"
"Barbato, Bruno"
"Barbero, Julio"
"Barboza, Jorge"
"Barenchi, Domingo"
"Barilko, Mario"
Barker
"Barrada, Mario"
"Barreiro, J."
Barreta
"Barreto, Bruno"
"Barreto, Daniel"
"Barreto, Oscar"
"Barrionuevo, H."
"Barrios, Elías"
"Barrios, Jorge"
"Barrios, Julio"
"Barrios, Washington"
"Barros, Rogelio"
"Barrotti, Enzo"
"Barruffa, Felipe"
"Barrutti, Marcelo (a prueba)"
"Bartibás, Venancio"
"Bartolazzo, Antonio"
"Bataini, Víctor"
"Bat, Alcides Tomás"
"Batignani, Fausto"
"Batista, Facundo"
"Batista, José"
"Bayón, Luis"
"Baz, Blas (jugador de Racing a préstamo)"
"Baztarrica, Guido"
"Beato, Adhemar"
"Becoña, Orlando"
"Belén, Nelson"
"Belhot, Jean"
"Bello, Juan"
Beltrán
"Belza, Eduardo"
"Benavídez, Julio (a prueba)"
"Benedussi, Juan Carlos"
"Bengoechea, Pablo Javier"
"Benincasa, José"
"Benincasa, Miguel"
"Benítez, Santiago"
"Bentancor, Tomás"
"Bentancourt, Rúben"
"Bentos-Pereira, Matías"
"Beracochea, Esteban"
"Bera, Hugo"
"Berbia, Adrián"
"Berdias, A."
"Berdiña, Agustín"
Beresford
Bergamasco
Bergara
"Bergara, Federico"
"Berisso, Alberto"
"Bermúdez, Joaquín"
"Bermúdez, Juan María"
"Bernardico, Rodger"
"Berninzone, Atilio"
"Berta, José"
"Bertín, Ruben"
"Bertocchi, Francisco"
"Best, William"
"Betancor, Bruno"
"Bettega, Elías"
"Betucci, Alfredo"
"Biaggio, Claudio"
"Bianchini, Rúben"
Bica
"Biglianti, Nicolás"
"Biglio, Héctor"
"Biscardi, Pablo"
"Bixio, Juan"
"Bizera, Joe Emerson"
"Blanco, A."
"Blanco, Juan José"
"Blanco, Néstor"
"Blanco, Sergio"
"Boccardo, Alfredo"
"Boffi, Guillermo"
"Bogado, Juan"
Boggiano
"Bogliacino, Mariano"
"Bogni, Carlos"
"Bolívar, Bartolomé"
"Bologna, Enrique"
"Bombi, Edgardo"
"Bonelli, José"
"Bonette, Michael"
Bongiovani
"Bonifacino, Julián"
"Bonifazi, Facundo"
"Bonilla, Ariel"
"Bonini, Alberto"
"Bonner, Henry"
"Bonomi, J."
"Bonomi, Pedro"
"Borderes, Nelson"
"Bordoli, José"
"Borges, Carlos"
"Borges, Didier"
"Borges, Fabián"
"Borges, Ulises"
"Borghini, Luis Conrado"
"Borjas, Ignacio"
"Borjas, René (refuerzo de Uruguay Onward)"
"Borreani, José"
"Borteiro, Juan Carlos"
"Boselli, Martín"
"Bossio, Miguel"
"Bottyan, Juan"
"Bovio, Elmo"
"Brailowsky, Daniel"
"Brandón, Luis"
"Bravo, Christian"
Bressan
"Britos, Julio César"
"Britos, Matías"
"Broggia, Carlos"
"Broli, Marcelo"
"Broli, Martín"
"Broncini, Fausto"
"Brooker, Fitzhardinge"
"Brown, Roberto"
Brunereau
"Bruschi, Ramiro"
"Bruzzese, Antonio"
"Bucetta, Ramón"
"Buchanan, James"
"Bueno, Carlos"
"Bueno, Nerly"
"Bueno, Santiago"
"Bugallo, Orlando"
"Burgos, Juan"
"Burgos, Kristian"
"Burgueño, I."
"Burgueño, Juan"
"Burns - ""Doull"", John"
"Burns - ""Doull"", Richard"
"Buschiazzo, Fabrizio"
"Busquets, Ezequiel"
"Buzeta, Jorge"
"Buzetti, Juan Luis"
"Caballero, Fernando"
"Cabanillas, Juan Carlos"
"Cabral, Pedro"
Cabrera
"Cabrera, Ángel"
