ID,Nombre,Goles
3,Obdulio Jacinto Muiños Varela,50
4,Juan Alberto Schiaffino Villano,98
5,Víctor Pablo Carlos Rodríguez Andrade,0
6,Óscar Omar Míguez,234
7,Roque Gastón Máspoli Arbelvide,0
8,Juan Eduardo Hohberg,255
9,Julio César Abbadie Gismero,148
10,Ernesto Sérvolo Vidal,97
11,Alcides Edgardo Ghiggia,48
12,Raúl Antonio Schiaffino,79
13,José Miguel Piendibene,256
14,Edmundo Acebedo,11
15,James Buchanan,12
16,Aniceto Camacho,29
17,Guillermo Davies,8
18,Ricardo De los Ríos,0
19,Anselmo Faustino Fabre,0
20,Francis Gorham Jackson,4
21,Alfredo Jones,0
22,Tomas Lewis,4
23,Carlos Lindemblat,6
24,Lorenzo Mazzuco Tuduri,0
25,Juan Pena,19
26,Juan José Scarrisbrick,1
27,Carlos Ward,1
28,Julio Barbero,2
29,Enrique Felipe Barruffa,2
30,James William Best,0
31,Jorge Canning,0
32,Guillermo Colombo,0
33,Julio Soisa,0
34,Dalmiro Vittori,0
35,Ceferino Camacho,2
36,Juan José Camacho,0
37,Luis Pronzetti,1
38,Amilcar Acevedo,1
39,Julio Dall' Orto,0
40,Eugenio Mañana,15
41,Luis Troison,0
42,Juan Villalba,0
43,Germán Arímalo,1
44,Eusebio Francisco Carbone Brune,0
45,Luis Irineo Carbone Brune,0
46,Pedro Carbone,0
47,Ángel Irisarri,0
48,Pedro Zibechi,36
49,Mario Devicenzi,0
50,Sagunto Espinosa,0
51,Jorge Lloyd,3
52,Guillermo Mathesson,0
53,Agustín Manito,23
54,Vicente Manito,0
55,Eleuterio Pintos,3
56,Leonard Crossley,0
57,Ernesto Palmer,1
58,Dardo Duncan Pereira,2
59,Alfredo Betucci,5
60,Felipe Juan Canavessi,55
61,John Harley,6
62,Juan Laguzzi,0
63,Víctor Legorburo,9
64,Carlos Scarone,42
65,Guillermo Manito,6
66,Julio López,1
67,Carlos Broggia,0
68,Pedro Casal,1
69,Luis Quaglia,34
70,Carlos Ronzoni,0
71,Julio Facello,0
72,Ernesto Andrés Raffo,0
73,Sábato Ángel Romano,12
74,Luis Solans,0
75,Máximo Plazaola,0
76,Antonio Campolo,64
77,Roberto Chery,0
78,Ernesto Cornú,0
79,Juan Roque Gesuele,9
80,Isabelino Gradín,73
81,Alfredo Granja,3
82,Luis Melgar,0
83,Jorge Pacheco,0
84,José Pérez,65
85,Pedro Rímolo,0
86,Domingo Bernardo Savio,1
87,Manuel Varela,4
88,Mario Viola,5
89,Antonio Bartolazzo,4
90,Augusto Delacroix,0
91,Alberto Romeo Elena,1
92,José Alfredo Lista,0
93,Julio Mallo,0
94,Armando Artigas,116
95,José Pedro Benincasa,1
96,Vicente Curto,1
97,Juan Delgado,4
98,Guillermo Ángel Ferrero,9
99,Carlos Leyenda,0
100,Carlos Antonio Márquez Castro,0
101,Juan Carlos Reggiardo,0
102,Pascual Ruotta,26
103,Juan Manuel Valverde,4
104,Juan Carazús,0
105,Américo Luchini,1
106,Juan Carlos Nappias,1
107,Miguel Bernardo Rognoni,0
108,Andrés Banchesse,0
109,Raul Constantino,0
110,Jesús Chans,0
111,Juan Pedro Arremón,60
112,Pedro Juan Balparda,0
113,Alberto Bonini,1
114,Juan Legnazzi,0
115,Carlos Mongelar,18
116,Juan Antonio Olivera,9
117,Conrado Donaldo Ross,4
118,José Suárez,0
119,Pablo Terevinto,252
120,Carlos Amatto Rinaldo,12
121,Emilio Cabrera,0
122,Pascual Guelmi,7
123,Alberto Jerjes,0
124,Juan Peralta,11
127,Antonio Aguerre,0
128,Arturo Fraga,5
129,Pascual Paola,30
130,Ladislao Pérez,39
131,José Posse,1
132,Andrés Ravera,0
133,Andrés Rodríguez,0
134,Feliciano Romero,0
135,Antonio Sacco,161
136,Gildeón Silva,7
137,Raúl Tognochi,5
138,Cirilo Estívez,0
139,Demis Dagosto,0
140,José Dagosto,14
141,Pablo Biscardi,0
142,Héctor Ferrando,0
143,Próspero Pérez,14
144,Juan Santero,1
145,Héctor Ardoguein,0
146,José Gervasio Artigas,3
147,Alfredo Boccardo,1
148,Lorenzo Fernández,45
149,Álvaro Antonio Gestido,11
150,Arturo Hohl,7
151,Juan Ramón Jaurreche,0
152,Ricardo Miramontes,0
153,Juan Necchi,12
154,Alberto Nogués,0
155,Fulgencio Ojeda,3
156,Ramón Olhagaray,5
157,Mario Portugal,1
158,Ángel Ramos,1
159,Carlos Juan Riolfo,0
160,Ángel Suárez,2
161,Arturo Suffiotti,31
162,Miguel Capuccini,0
163,Vicente Sarni,15
164,Juan Peregrino Anselmo,94
165,Carlos Otonello,0
166,Plácido Anselmo Pintado,15
167,Alfredo Toscano,0
168,Guillermo Boffi,0
169,Vicente Capuccio,3
170,Carlos Giúdice,15
171,Carlos Gringa,8
172,Eugenio Morasso,0
173,José Leandro Andrade,0
174,Arturo Cambra,0
175,Adhemar Canavessi,6
176,Oscar Carbone,13
177,Braulio Castro Sánchez,37
178,Venancio Castro,0
179,Galileo Chanes,0
180,Homero Fernández,0
181,Luis Gaitán,0
182,Ramón Irigaray,7
183,Guido Laino,0
184,Luis Mainardi,1
185,Ernesto Alberto Mascheroni,3
186,Luis Alberto Mata,58
187,Julio Oddo,0
188,Américo Pazos,0
189,Julio Pérez Serrés,2
190,Nicolás Riccardi,0
191,Pascual Ruggiero,5
192,Victoriano Santos Iriarte,22
193,Pedro José Young Sosa,85
194,Erebo Zunino,3
195,Basilio Aizcorbe,1
196,Enrique Pedro Ballestrero Griffo,0
197,Rogelio Barros,27
198,Adelaido Camaití,76
199,Alvaro Cañete,4
200,Héctor Cazenave,1
201,Jorge Enrique Clulow,2
202,Rodolfo Deagustini,0
203,Silvio Hoffmann,0
204,Luiz Mattoso Macedo,42
205,Víctor Martínez,3
206,Edmundo Mautone,1
207,Mario Méndez,0
208,Salvador Rubilar,1
209,José Alberto Taboada,45
210,Severino Varela Puente,129
211,Segundo Villadóniga,33
212,Mario Barrada,1
213,Pedro Lago,52
214,Carlos Scandroglio,0
215,Dalmiro Farías,0
216,Juan Giménez,0
217,Anselmo Lustemberg,6
219,Carlos Spósito,4
220,Juan Pedro Sténeri,0
221,Francisco Villegas,2
222,Julio Nicolás Barrios Cabrera,0
223,Miguel Ángel Lauri,4
225,Raúl Rodríguez,10
226,Horacio Tellechea,27
227,Luis Pedro Alberti,0
228,Juan Luis Bottyan,0
229,Ubaldo Cruche,24
230,Feliciano Freire,14
231,Plinio Garibaldi,0
232,Sebastián Guzmán,20
233,Héctor Mario Magliano,14
234,Francisco Palermo,13
235,Darío Oscar Piñero,0
236,Agustín Prado,0
237,César Rivero,0
238,Adolfo Rodríguez Barreto,1
239,Roberto Gregorio Scarone,0
240,Aníbal Traverso,2
241,Joaquín Bermúdez,0
242,Leonardo Jesús Cilaurrén Uriarte,2
243,Ricardo Charlón,0
244,Domingo Gelpi,73
245,Aurelio Gonnard,24
246,Agenor Muñiz,0
247,Antonio Ángel Núñez,9
248,José María Ortíz,14
