ID,Nombre,Goles,Foto
3,Obdulio Jacinto Muiños Varela,50,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\3.jpg
4,Juan Alberto Schiaffino Villano,98,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\4.jpg
5,Víctor Pablo Carlos Rodríguez Andrade,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\5.jpg
6,Óscar Omar Míguez,234,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\6.jpg
7,Roque Gastón Máspoli Arbelvide,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\7.jpg
8,Juan Eduardo Hohberg,255,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\8.jpg
9,Julio César Abbadie Gismero,148,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\9.jpg
10,Ernesto Sérvolo Vidal,97,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\10.jpg
11,Alcides Edgardo Ghiggia,48,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\11.jpg
12,Raúl Antonio Schiaffino,79,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\12.jpg
13,José Miguel Piendibene,256,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\13.jpg
14,Edmundo Acebedo,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\14.jpg
15,James Buchanan,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\15.jpg
16,Aniceto Camacho,29,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\16.jpg
17,Guillermo Davies,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\17.jpg
18,Ricardo De los Ríos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\18.jpg
19,Anselmo Faustino Fabre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\19.jpg
20,Francis Gorham Jackson,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\20.jpg
21,Alfredo Jones,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\21.jpg
22,Tomas Lewis,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\22.jpg
23,Carlos Lindemblat,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\23.jpg
