ID,Nombre,Goles,Foto,DefaultFoto
3,Obdulio Jacinto Muiños Varela,50,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\3.jpg,False
4,Juan Alberto Schiaffino Villano,98,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\4.jpg,False
5,Víctor Pablo Carlos Rodríguez Andrade,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\5.jpg,False
6,Óscar Omar Míguez,234,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\6.jpg,False
7,Roque Gastón Máspoli Arbelvide,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\7.jpg,False
8,Juan Eduardo Hohberg,255,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\8.jpg,False
9,Julio César Abbadie Gismero,148,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\9.jpg,False
10,Ernesto Sérvolo Vidal,97,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\10.jpg,False
11,Alcides Edgardo Ghiggia,48,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\11.jpg,False
12,Raúl Antonio Schiaffino,79,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\12.jpg,False
13,José Miguel Piendibene,256,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\13.jpg,False
14,Edmundo Acebedo,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\14.jpg,False
15,James Buchanan,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\15.jpg,False
16,Aniceto Camacho,29,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\16.jpg,False
17,Guillermo Davies,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\17.jpg,False
18,Ricardo De los Ríos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\18.jpg,False
19,Anselmo Faustino Fabre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\19.jpg,False
20,Francis Gorham Jackson,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\20.jpg,False
21,Alfredo Jones,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\21.jpg,False
22,Tomas Lewis,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\22.jpg,False
23,Carlos Lindemblat,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\23.jpg,False
24,Lorenzo Mazzuco Tuduri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\24.jpg,False
25,Juan Pena,19,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\25.jpg,False
26,Juan José Scarrisbrick,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\26.jpg,True
27,Carlos Ward,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\27.jpg,False
28,Julio Barbero,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\28.jpg,True
29,Enrique Felipe Barruffa,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\29.jpg,True
30,James William Best,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\30.jpg,False
31,Jorge Canning,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\31.jpg,False
32,Guillermo Colombo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\32.jpg,True
33,Julio Soisa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\33.jpg,False
34,Dalmiro Vittori,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\34.jpg,True
35,Ceferino Camacho,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\35.jpg,False
36,Juan José Camacho,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\36.jpg,True
37,Luis Pronzetti,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\37.jpg,True
38,Amilcar Acevedo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\38.jpg,True
39,Julio Dall' Orto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\39.jpg,True
40,Eugenio Mañana,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\40.jpg,False
41,Luis Troison,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\41.jpg,True
42,Juan Villalba,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\42.jpg,True
43,Germán Arímalo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\43.jpg,False
44,Eusebio Francisco Carbone Brune,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\44.jpg,False
45,Luis Irineo Carbone Brune,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\45.jpg,False
46,Pedro Carbone,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\46.jpg,True
47,Ángel Irisarri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\47.jpg,False
48,Pedro Zibechi,36,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\48.jpg,False
49,Mario Devicenzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\49.jpg,False
50,Sagunto Espinosa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\50.jpg,False
51,Jorge Lloyd,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\51.jpg,False
52,Guillermo Mathesson,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\52.jpg,True
53,Agustín Manito,23,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\53.jpg,False
54,Vicente Manito,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\54.jpg,True
55,Eleuterio Pintos,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\55.jpg,False
56,Leonard Crossley,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\56.jpg,False
57,Ernesto Palmer,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\57.jpg,True
58,Dardo Duncan Pereira,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\58.jpg,True
59,Alfredo Betucci,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\59.jpg,False
60,Felipe Juan Canavessi,55,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\60.jpg,False
61,John Harley,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\61.jpg,False
62,Juan Laguzzi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\62.jpg,False
63,Víctor Legorburo,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\63.jpg,False
64,Carlos Scarone,42,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\64.jpg,False
65,Guillermo Manito,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\65.jpg,False
66,Julio López,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\66.jpg,True
67,Carlos Broggia,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\67.jpg,True
68,Pedro Casal,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\68.jpg,True
69,Luis Quaglia,34,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\69.jpg,False
70,Carlos Ronzoni,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\70.jpg,False
71,Julio Facello,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\71.jpg,True
72,Ernesto Andrés Raffo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\72.jpg,False
73,Sábato Ángel Romano,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\73.jpg,False
74,Luis Solans,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\74.jpg,False
75,Máximo Plazaola,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\75.jpg,True
76,Antonio Campolo,64,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\76.jpg,False
