ID,Nombre,Goles,Foto,DefaultFoto,FechaNacimiento,Posicion,LugarNacimiento,Apodo,CampeonatosUruguayos,TitulosInternacionales,Oficiales_partidosjugados,Oficiales_partidosganados,Oficiales_partidosempatados,Oficiales_partidosperdidos,Oficiales_golesmarcados,Amistosos_partidosjugados,Amistosos_partidosganados,Amistosos_partidosempatados,Amistosos_partidosperdidos,Amistosos_golesmarcados,ClasicosOficiales_partidosjugados,ClasicosOficiales_partidosganados,ClasicosOficiales_partidosempatados,ClasicosOficiales_partidosperdidos,ClasicosOficiales_golesmarcados,ClasicosAmistosos_partidosjugados,ClasicosAmistosos_partidosganados,ClasicosAmistosos_partidosempatados,ClasicosAmistosos_partidosperdidos,ClasicosAmistosos_golesmarcados
3,Obdulio Jacinto Muiños Varela,50,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\3.jpg,False,20/09/1917,vcVolante central,"Montevideo, Uruguay",El Negro Jefe,0.0,0.0,237.0,169.0,33.0,35.0,39.0,89.0,59.0,10.0,20.0,11.0,36.0,16.0,6.0,14.0,3.0,2.0,0.0,1.0,1.0,0.0
4,Juan Alberto Schiaffino Villano,98,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\4.jpg,False,28/07/1925,voVolante ofensivo,"Montevideo, Uruguay",Pepe,0.0,0.0,166.0,128.0,17.0,21.0,69.0,72.0,51.0,6.0,15.0,29.0,20.0,10.0,2.0,8.0,3.0,2.0,1.0,0.0,1.0,0.0
5,Víctor Pablo Carlos Rodríguez Andrade,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\5.jpg,False,02/05/1927,liLateral izquierdo,"Montevideo, Uruguay",La Perla Negra,0.0,0.0,108.0,76.0,21.0,11.0,0.0,73.0,41.0,15.0,17.0,0.0,17.0,7.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
6,Óscar Omar Míguez,234,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\6.jpg,False,05/12/1927,dDelantero,"Montevideo, Uruguay",Cotorra,0.0,0.0,197.0,138.0,37.0,22.0,158.0,118.0,72.0,18.0,28.0,76.0,29.0,14.0,5.0,10.0,14.0,1.0,1.0,0.0,0.0,1.0
7,Roque Gastón Máspoli Arbelvide,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\7.jpg,False,12/10/1917,gGolero,"Montevideo, Uruguay",-,0.0,0.0,265.0,192.0,32.0,41.0,0.0,131.0,86.0,22.0,23.0,0.0,35.0,13.0,5.0,17.0,0.0,3.0,1.0,1.0,1.0,0.0
8,Juan Eduardo Hohberg,255,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\8.jpg,False,08/10/1927,dDelantero,"Córdoba, Argentina",El Verdugo,0.0,0.0,231.0,161.0,47.0,23.0,174.0,144.0,85.0,31.0,28.0,81.0,32.0,16.0,10.0,6.0,18.0,2.0,1.0,1.0,0.0,0.0
9,Julio César Abbadie Gismero,148,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\9.jpg,False,07/09/1930,voVolante ofensivo,"Canelones, Uruguay",El Pardo,0.0,0.0,282.0,206.0,41.0,35.0,89.0,213.0,124.0,42.0,47.0,59.0,39.0,19.0,11.0,9.0,5.0,4.0,1.0,1.0,2.0,0.0
10,Ernesto Sérvolo Vidal,97,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\10.jpg,False,15/11/1921,dDelantero,"Buje, Croacia",El Patrullero,0.0,0.0,188.0,137.0,21.0,30.0,65.0,79.0,54.0,9.0,16.0,32.0,28.0,13.0,5.0,10.0,6.0,1.0,0.0,0.0,1.0,0.0
11,Alcides Edgardo Ghiggia,48,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\11.jpg,False,22/12/1926,dDelantero,"Montevideo, Uruguay",El Ñato,0.0,0.0,95.0,74.0,13.0,8.0,37.0,45.0,31.0,3.0,11.0,11.0,13.0,8.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0
12,Raúl Antonio Schiaffino,79,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\12.jpg,False,07/12/1923,dDelantero,"Montevideo, Uruguay",Toto,0.0,0.0,54.0,39.0,2.0,13.0,44.0,32.0,24.0,5.0,3.0,35.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
13,José Miguel Piendibene,256,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\13.jpg,False,05/06/1890,dDelantero,"Montevideo, Uruguay",El Maestro,0.0,0.0,321.0,226.0,54.0,41.0,177.0,116.0,73.0,21.0,22.0,79.0,43.0,15.0,10.0,18.0,14.0,16.0,7.0,1.0,8.0,7.0
14,Edmundo Acebedo,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\14.jpg,False,06/05/1872,dDelantero,-,-,0.0,0.0,30.0,18.0,3.0,9.0,4.0,37.0,16.0,8.0,13.0,7.0,10.0,2.0,3.0,5.0,3.0,5.0,4.0,1.0,0.0,1.0
15,James Buchanan,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\15.jpg,False,-,dcDefensa central,-,-,0.0,0.0,9.0,8.0,0.0,1.0,3.0,29.0,12.0,6.0,11.0,9.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0
16,Aniceto Camacho,29,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\16.jpg,False,-,dDelantero,-,-,0.0,0.0,54.0,33.0,7.0,14.0,24.0,16.0,9.0,3.0,4.0,5.0,18.0,7.0,5.0,6.0,6.0,6.0,5.0,1.0,0.0,2.0
17,Guillermo Davies,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\17.jpg,False,11/07/1878,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,46.0,29.0,6.0,11.0,3.0,44.0,19.0,10.0,15.0,5.0,16.0,7.0,4.0,5.0,0.0,7.0,5.0,1.0,1.0,0.0
18,Ricardo De los Ríos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\18.jpg,False,-,dcDefensa central,-,-,0.0,0.0,19.0,13.0,1.0,5.0,0.0,30.0,16.0,7.0,7.0,0.0,5.0,2.0,1.0,2.0,0.0,5.0,4.0,1.0,0.0,0.0
19,Anselmo Faustino Fabre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\19.jpg,False,-,gGolero,-,-,0.0,0.0,17.0,13.0,1.0,3.0,0.0,19.0,14.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0
20,Francis Gorham Jackson,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\20.jpg,False,11/11/1878,vcVolante central,"Buenos Aires, Argentina",-,0.0,0.0,19.0,11.0,3.0,5.0,2.0,12.0,7.0,3.0,2.0,2.0,7.0,2.0,3.0,2.0,0.0,4.0,3.0,1.0,0.0,1.0
21,Alfredo Jones,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\21.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Tomas Lewis,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\22.jpg,False,21/11/1882,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,18.0,10.0,3.0,5.0,2.0,15.0,9.0,2.0,4.0,2.0,6.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
23,Carlos Lindemblat,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\23.jpg,False,-,dDelantero,-,-,0.0,0.0,13.0,9.0,1.0,3.0,3.0,29.0,17.0,6.0,6.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0
24,Lorenzo Mazzuco Tuduri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\24.jpg,False,11/07/1879,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,54.0,36.0,6.0,12.0,0.0,39.0,18.0,9.0,12.0,0.0,16.0,8.0,4.0,4.0,0.0,8.0,5.0,2.0,1.0,0.0
25,Juan Pena,19,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\25.jpg,False,13/08/1882,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,43.0,26.0,4.0,13.0,14.0,25.0,14.0,2.0,9.0,5.0,17.0,6.0,4.0,7.0,4.0,10.0,5.0,1.0,4.0,3.0
26,Juan José Scarrisbrick,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\26.jpg,True,-,dDelantero,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Carlos Ward,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\27.jpg,False,-,vcVolante central,-,-,0.0,0.0,17.0,14.0,1.0,2.0,0.0,21.0,13.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0
28,Julio Barbero,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\28.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,11.0,7.0,0.0,4.0,1.0,5.0,3.0,0.0,2.0,1.0,4.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0
29,Enrique Felipe Barruffa,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\29.jpg,True,-,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,8.0,6.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
